time,gFx,gFy,gFz,gFTotal
0.0037970542907714844,-0.073,-0.2,-1.004,1.026
0.011388778686523438,-0.067,-0.189,-0.989,1.009
0.025192975997924805,-0.027,-0.194,-1.005,1.024
0.03120708465576172,0.024,-0.215,-1.037,1.059
0.043302059173583984,0.05,-0.225,-1.075,1.099
0.05878782272338867,0.065,-0.23,-1.112,1.137
0.0623018741607666,0.07,-0.215,-1.113,1.136
0.07802796363830566,0.073,-0.205,-1.079,1.101
0.08130192756652832,0.083,-0.213,-1.039,1.064
0.09598207473754883,0.093,-0.224,-1.013,1.042
0.10082006454467773,0.115,-0.242,-0.984,1.02
0.11354684829711914,0.12,-0.246,-0.961,0.999
0.12768197059631348,0.117,-0.246,-0.941,0.98
0.13164091110229492,0.115,-0.257,-0.928,0.97
0.14624786376953125,0.094,-0.261,-0.931,0.971
0.150892972946167,0.072,-0.268,-0.931,0.971
0.16288089752197266,0.051,-0.272,-0.911,0.952
0.1787247657775879,0.032,-0.267,-0.899,0.938
0.18218278884887695,0.022,-0.266,-0.904,0.943
0.19693708419799805,0.016,-0.266,-0.936,0.973
0.2015528678894043,0.013,-0.264,-0.98,1.015
0.21396780014038086,0.025,-0.253,-0.982,1.014
0.22142505645751953,0.044,-0.245,-0.973,1.004
0.23272085189819336,0.056,-0.246,-0.958,0.991
0.24817705154418945,0.056,-0.232,-0.925,0.955
0.251262903213501,0.06,-0.216,-0.914,0.941
0.2653079032897949,0.068,-0.229,-0.953,0.982
0.27193498611450195,0.069,-0.249,-0.997,1.03
0.28331899642944336,0.073,-0.274,-1.005,1.044
0.29791688919067383,0.071,-0.284,-0.969,1.012
0.3018069267272949,0.036,-0.256,-0.92,0.956
0.31743383407592773,0.007,-0.247,-0.916,0.949
0.32172679901123047,0.009,-0.288,-0.933,0.976
0.3359408378601074,0.004,-0.331,-0.887,0.947
0.3418760299682617,-0.023,-0.314,-0.805,0.864
0.35467004776000977,-0.057,-0.289,-0.785,0.838
0.36174488067626953,-0.09,-0.275,-0.8,0.851
0.372844934463501,-0.104,-0.287,-0.793,0.85
0.38733577728271484,-0.109,-0.294,-0.773,0.834
0.39156198501586914,-0.101,-0.296,-0.77,0.831
0.40442705154418945,-0.076,-0.287,-0.795,0.849
0.4113497734069824,-0.031,-0.26,-0.83,0.87
0.4216790199279785,0.002,-0.22,-0.893,0.92
0.43648195266723633,0.002,-0.198,-0.938,0.959
0.4417879581451416,-0.006,-0.204,-0.922,0.944
0.455718994140625,-0.031,-0.178,-0.876,0.894
0.4618809223175049,-0.052,-0.107,-0.823,0.832
0.47344398498535156,-0.03,-0.097,-0.826,0.832
0.48944592475891113,-0.007,-0.17,-0.939,0.954
0.49269676208496094,-0.055,-0.184,-1.025,1.043
0.5079748630523682,-0.158,-0.095,-0.971,0.988
0.5118618011474609,-0.251,-0.015,-0.879,0.914
0.52734375,-0.366,0.039,-0.801,0.882
0.5320849418640137,-0.471,0.076,-0.788,0.921
0.5456328392028809,-0.561,0.099,-0.777,0.963
0.5517477989196777,-0.59,0.145,-0.782,0.99
0.5630998611450195,-0.602,0.083,-0.859,1.052
0.5788528919219971,-0.641,-0.002,-0.724,0.967
0.5820379257202148,-0.568,0.084,-0.559,0.801
0.5958719253540039,-0.43,0.15,-0.548,0.713
0.6015310287475586,-0.368,0.162,-0.547,0.679
0.613731861114502,-0.352,0.102,-0.524,0.639
0.6290850639343262,-0.363,0.11,-0.545,0.664
0.632253885269165,-0.443,0.209,-0.559,0.743
0.6469109058380127,-0.517,0.306,-0.477,0.767
0.6516079902648926,-0.577,0.319,-0.362,0.752
0.6645779609680176,-0.692,0.233,-0.321,0.798
0.6809139251708984,-0.783,0.099,-0.387,0.879
0.6832718849182129,-0.808,0.04,-0.523,0.963
0.699927806854248,-0.82,0.102,-0.641,1.046
0.7033538818359375,-0.899,0.179,-0.703,1.155
0.7184009552001953,-0.998,0.174,-0.698,1.23
0.7229039669036865,-1.062,0.113,-0.772,1.318
0.7384519577026367,-1.067,0.055,-0.854,1.368
0.7419018745422363,-1.015,-0.004,-0.907,1.361
0.7568259239196777,-0.977,0.026,-0.973,1.379
0.762286901473999,-0.979,0.007,-0.978,1.384
0.7758128643035889,-0.959,-0.035,-0.927,1.334
0.7819428443908691,-0.913,-0.042,-0.922,1.298
0.7948708534240723,-0.845,-0.057,-0.994,1.306
0.8021419048309326,-0.729,-0.033,-1.074,1.298
0.8134417533874512,-0.606,0.076,-1.109,1.266
0.8298358917236328,-0.528,0.197,-1.113,1.248
0.8330078125,-0.551,0.312,-1.147,1.31
0.8486948013305664,-0.673,0.359,-1.17,1.397
0.85247802734375,-0.845,0.323,-1.084,1.412
0.866771936416626,-0.929,0.386,-0.799,1.285
0.8727869987487793,-1.712,0.6,-0.291,1.837
0.8853628635406494,-2.531,0.233,-0.043,2.542
0.8924188613891602,-0.583,-0.152,-0.585,0.84
0.9045147895812988,-0.414,0.15,-0.647,0.783
0.9193809032440186,-0.813,0.597,-0.705,1.231
0.9247450828552246,-1.309,0.464,-0.722,1.565
0.9393589496612549,-1.474,0.149,-0.475,1.556
0.9426429271697998,-1.684,0.013,-0.231,1.7
0.9583210945129395,-1.922,-0.042,-0.039,1.923
0.9623517990112305,-2.004,-0.058,0.272,2.023
0.9764490127563477,-1.398,0.051,0.261,1.423
0.9827919006347656,-0.948,0.286,-0.008,0.99
0.9951777458190918,-0.813,0.468,-0.116,0.945
1.0024089813232422,-0.685,0.576,-0.083,0.899
1.013509750366211,-0.543,0.59,-0.001,0.802
1.0293340682983398,-0.545,0.542,0.064,0.771
1.0338099002838135,-0.603,0.453,0.04,0.755
1.0463857650756836,-0.699,0.381,-0.026,0.797
1.0523900985717773,-0.787,0.351,-0.066,0.864
1.0646989345550537,-0.811,0.324,-0.062,0.876
1.079906940460205,-0.714,0.3,-0.018,0.775
1.0832700729370117,-0.552,0.298,0.106,0.636
1.0984699726104736,-0.383,0.403,0.36,0.662
1.102592945098877,-0.348,0.631,0.5,0.877
1.1175248622894287,-0.374,0.66,-0.15,0.773
1.1233279705047607,-0.602,0.702,-0.459,1.032
1.1356830596923828,-0.628,0.522,-0.178,0.836
1.142833948135376,-0.832,0.593,-0.286,1.061
1.1546869277954102,-0.959,0.539,-0.238,1.126
1.1704649925231934,-0.813,0.408,-0.039,0.91
1.1740660667419434,-0.6,0.353,0.317,0.765
1.1900038719177246,-0.492,0.431,0.719,0.972
1.1931967735290527,-0.469,0.583,0.984,1.236
1.20843505859375,-0.367,0.697,0.896,1.193
1.213174819946289,0.45,0.391,0.494,0.774
1.2273187637329102,-0.178,0.776,0.315,0.856
1.23344087600708,-1.462,0.947,0.277,1.764
1.2457528114318848,-1.626,0.682,0.07,1.765
1.2622218132019043,-0.507,0.457,0.172,0.704
1.265751838684082,-0.507,0.457,0.172,0.704
1.2799530029296875,-0.379,0.41,0.341,0.654
1.2830569744110107,-0.372,0.461,0.425,0.729
1.2980670928955078,-0.387,0.542,0.318,0.738
1.3034930229187012,-0.451,0.518,0.291,0.746
1.3166470527648926,-0.554,0.645,0.354,0.921
1.3232250213623047,-0.593,0.762,0.19,0.984
1.3345749378204346,-0.654,0.88,-0.259,1.127
1.35028076171875,-0.699,0.403,-0.143,0.819
1.3533058166503906,-0.906,0.257,-0.052,0.943
1.3627879619598389,-1.343,0.619,-0.385,1.528
1.373363971710205,-1.368,0.892,-0.161,1.641
1.383866786956787,-1.038,1.028,0.329,1.497
1.3939869403839111,-0.826,1.646,0.65,1.953
1.4031238555908203,-0.271,2.081,0.831,2.257
1.4128928184509277,-0.078,1.48,0.869,1.718
1.4320578575134277,-0.315,1.467,0.633,1.628
1.4358019828796387,-0.337,1.564,-0.118,1.604
1.4441490173339844,-0.251,1.342,-0.474,1.445
1.4537110328674316,-0.362,1.246,-0.236,1.319
1.4632420539855957,-0.558,1.698,0.16,1.794
1.474142074584961,-0.541,1.789,0.416,1.915
1.4843268394470215,-0.527,1.562,0.414,1.7
1.4939348697662354,-0.593,1.345,0.43,1.532
1.503014087677002,-0.517,1.317,0.43,1.479
1.513117790222168,0.067,1.287,0.145,1.297
1.5342459678649902,-0.431,-0.058,-0.091,0.444
1.5369799137115479,-0.431,-0.058,-0.091,0.444
1.5441339015960693,-0.135,0.406,-0.194,0.47
1.5541677474975586,-0.059,0.608,-0.052,0.613
1.563173770904541,0.053,0.41,0.049,0.416
1.5733859539031982,0.054,0.365,0.079,0.377
1.5847487449645996,-0.016,0.461,0.119,0.476
1.5949440002441406,-0.08,0.547,0.177,0.58
1.6040818691253662,-0.087,0.324,0.147,0.366
1.6136729717254639,-0.078,0.146,0.065,0.178
1.636213779449463,-0.601,0.988,-0.413,1.228
1.63993501663208,-0.601,0.988,-0.413,1.228
1.64410400390625,-0.337,0.986,-0.52,1.165
1.654679775238037,0.031,1.138,-0.439,1.22
1.66383695602417,-0.22,1.587,-0.066,1.604
1.6753759384155273,-0.335,1.676,0.09,1.712
1.685074806213379,-0.234,1.653,0.149,1.676
1.6949498653411865,-0.275,1.59,0.125,1.618
1.7047710418701172,-0.371,1.401,-0.018,1.449
1.7139410972595215,-0.366,1.36,-0.099,1.412
1.7362799644470215,-0.189,1.125,-0.11,1.146
1.739698886871338,-0.189,1.125,-0.11,1.146
1.7443389892578125,-0.186,0.986,-0.031,1.004
1.754647970199585,-0.219,0.917,0.044,0.944
1.7636938095092773,-0.229,0.931,0.093,0.963
1.7744197845458984,-0.181,0.728,0.055,0.752
1.7850289344787598,0.105,0.446,-0.185,0.494
1.7952098846435547,-0.102,1.205,-0.064,1.211
1.8038887977600098,-0.418,1.031,0.002,1.113
1.8146138191223145,-0.399,0.901,0.056,0.987
1.8356890678405762,-0.355,1.335,0.09,1.384
1.8382720947265625,-0.355,1.335,0.09,1.384
1.8445510864257812,-0.329,1.463,0.109,1.503
1.8548288345336914,-0.266,1.621,0.252,1.662
1.8644647598266602,-0.259,1.441,0.228,1.482
1.8741519451141357,-0.356,0.814,0.007,0.888
1.885619878768921,-0.342,0.494,-0.026,0.601
1.895880937576294,-0.302,0.561,-0.023,0.638
1.9043097496032715,-0.316,0.684,0.008,0.754
1.9141879081726074,-0.368,0.788,0.101,0.876
1.936680793762207,-0.384,0.878,0.122,0.966
1.9399738311767578,-0.384,0.878,0.122,0.966
1.9446609020233154,-0.34,0.88,0.115,0.95
1.954974889755249,-0.294,0.879,0.127,0.936
1.9641799926757812,-0.28,0.895,0.143,0.949
1.9746098518371582,-0.287,0.922,0.153,0.978
1.9855408668518066,-0.295,0.942,0.163,1.0
1.99546480178833,-0.293,0.963,0.157,1.019
2.0043540000915527,-0.288,0.983,0.154,1.036
2.014321804046631,-0.28,1.006,0.169,1.058
2.036829948425293,-0.234,1.074,0.147,1.109
2.0403668880462646,-0.234,1.074,0.147,1.109
2.044461965560913,-0.209,1.103,0.099,1.127
2.055271863937378,-0.204,1.136,0.073,1.156
2.0643789768218994,-0.219,1.18,0.063,1.202
2.075100898742676,-0.23,1.247,0.058,1.269
2.08565092086792,-0.229,1.311,0.042,1.332
2.095629930496216,-0.237,1.365,0.004,1.385
2.1045780181884766,-0.245,1.396,-0.018,1.417
2.1146388053894043,-0.247,1.434,0.029,1.455
2.137225866317749,-0.139,1.562,0.156,1.576
2.1407418251037598,-0.139,1.562,0.156,1.576
2.145111083984375,-0.068,1.643,0.14,1.65
2.1551599502563477,-0.014,1.706,0.104,1.709
2.164552927017212,0.013,1.749,0.032,1.749
2.174393892288208,0.042,1.733,-0.061,1.735
2.186038017272949,0.055,1.667,-0.148,1.674
2.1957509517669678,0.088,1.582,-0.226,1.6
2.2048568725585938,0.127,1.449,-0.249,1.476
2.2152938842773438,0.187,1.294,-0.214,1.325
2.2373600006103516,0.038,0.997,0.036,0.998
2.2400269508361816,0.038,0.997,0.036,0.998
2.2451629638671875,0.015,0.872,0.146,0.884
2.255444049835205,0.034,0.799,0.232,0.833
2.264720916748047,0.097,0.773,0.284,0.829
2.275242805480957,0.155,0.776,0.25,0.83
2.2860169410705566,0.147,0.783,0.165,0.814
2.295991897583008,0.08,0.768,0.127,0.783
2.304872989654541,0.0,0.737,0.125,0.748
2.315161943435669,-0.099,0.731,0.113,0.746
2.3372340202331543,-0.31,0.874,0.173,0.943
2.3407740592956543,-0.31,0.874,0.173,0.943
2.3455119132995605,-0.375,0.998,0.105,1.071
2.355940818786621,-0.389,1.152,0.156,1.226
2.3647818565368652,-0.357,1.229,0.241,1.302
2.3757569789886475,-0.284,1.147,0.208,1.2
2.3867318630218506,-0.045,0.935,0.161,0.95
2.3963968753814697,0.132,0.747,0.078,0.763
2.405186891555786,0.16,0.608,-0.046,0.63
2.41506290435791,0.106,0.514,-0.036,0.526
2.438304901123047,-0.068,0.606,0.346,0.701
2.4415760040283203,-0.068,0.606,0.346,0.701
2.445456027984619,-0.171,0.723,0.461,0.874
2.4559578895568848,-0.223,0.854,0.49,1.01
2.464818000793457,-0.177,0.938,0.452,1.056
2.4756879806518555,-0.107,0.861,0.378,0.946
2.4864587783813477,-0.088,0.695,0.347,0.782
2.4960618019104004,-0.125,0.573,0.247,0.636
2.50545597076416,-0.238,0.71,0.031,0.749
2.5152359008789062,-0.178,0.78,0.224,0.831
2.5396008491516113,-0.16,0.795,0.311,0.869
2.5416319370269775,-0.16,0.795,0.311,0.869
2.545809745788574,-0.138,0.664,0.306,0.744
2.556083917617798,-0.126,0.482,0.322,0.593
2.5650599002838135,-0.11,0.276,0.356,0.464
2.57582688331604,-0.099,0.309,0.372,0.494
2.5865979194641113,-0.084,0.441,0.409,0.607
2.5967249870300293,-0.106,0.542,0.455,0.716
2.6054530143737793,-0.116,0.603,0.428,0.748
2.6154189109802246,-0.103,0.611,0.453,0.768
2.6386890411376953,-0.042,0.578,0.52,0.779
2.642171859741211,-0.042,0.578,0.52,0.779
2.64620304107666,-0.006,0.587,0.548,0.803
2.6569318771362305,0.017,0.62,0.572,0.844
2.6651010513305664,0.021,0.657,0.594,0.886
2.675865888595581,0.017,0.689,0.606,0.918
2.6865899562835693,-0.004,0.718,0.606,0.94
2.696955919265747,-0.021,0.739,0.61,0.958
2.7056119441986084,-0.041,0.747,0.625,0.975
2.715533971786499,-0.07,0.752,0.637,0.988
2.738229751586914,-0.128,0.773,0.618,0.998
2.7408769130706787,-0.128,0.773,0.618,0.998
2.7460029125213623,-0.167,0.814,0.645,1.052
2.7564198970794678,-0.25,0.886,0.695,1.153
2.7653138637542725,-0.347,0.992,0.703,1.264
2.775866985321045,-0.396,1.074,0.665,1.324
2.7870798110961914,-0.33,1.09,0.586,1.281
2.79677677154541,-0.193,1.129,0.615,1.3
2.8057379722595215,-0.072,1.248,0.702,1.434
2.815610885620117,-0.036,1.448,0.77,1.64
2.8373489379882812,-0.054,1.8,0.767,1.957
2.8405349254608154,-0.054,1.8,0.767,1.957
2.846223831176758,-0.066,1.805,0.661,1.923
2.8575210571289062,-0.061,1.627,0.594,1.733
2.8654959201812744,-0.03,1.393,0.582,1.51
2.8760159015655518,-0.016,1.251,0.478,1.339
2.8874459266662598,-0.031,1.129,0.383,1.193
2.8970069885253906,-0.012,1.014,0.337,1.069
2.906435012817383,-0.017,0.912,0.237,0.942
2.915919780731201,-0.045,0.833,0.127,0.844
2.9377219676971436,-0.146,0.783,0.081,0.801
2.9402899742126465,-0.146,0.783,0.081,0.801
2.9463977813720703,-0.144,0.779,0.074,0.796
2.957629919052124,-0.154,0.771,0.025,0.787
2.965601921081543,-0.156,0.796,-0.045,0.812
2.9763150215148926,-0.165,0.874,-0.129,0.899
2.986646890640259,-0.149,0.944,-0.219,0.98
2.9976468086242676,-0.089,0.986,-0.256,1.023
3.006232976913452,-0.002,0.935,-0.243,0.966
3.0158729553222656,0.064,0.869,-0.176,0.889
3.0395140647888184,0.124,0.893,-0.083,0.905
3.04207181930542,0.124,0.893,-0.083,0.905
3.0465288162231445,0.22,0.874,0.087,0.905
3.057429790496826,0.282,0.845,0.316,0.945
3.0658109188079834,0.214,0.852,0.554,1.039
3.0768280029296875,0.008,0.886,0.584,1.061
3.0874080657958984,-0.099,0.839,0.418,0.943
3.097259998321533,-0.084,0.725,0.213,0.76
3.1062560081481934,-0.063,0.673,0.055,0.678
3.1161890029907227,-0.022,0.664,-0.039,0.666
3.1388449668884277,0.013,0.704,-0.25,0.747
3.1426100730895996,0.013,0.704,-0.25,0.747
3.146061897277832,-0.022,0.699,-0.271,0.75
3.1571319103240967,-0.05,0.69,-0.179,0.715
3.166620969772339,-0.067,0.664,-0.07,0.671
3.1767640113830566,-0.074,0.645,0.01,0.649
3.1875500679016113,-0.079,0.647,0.043,0.653
3.1975817680358887,-0.081,0.674,0.052,0.681
3.206364870071411,-0.059,0.719,0.111,0.73
3.2163729667663574,-0.038,0.793,0.179,0.814
3.2392778396606445,0.029,0.983,0.264,1.018
3.2430379390716553,0.029,0.983,0.264,1.018
3.2472169399261475,0.022,1.086,0.233,1.111
3.257786750793457,-0.028,1.184,0.249,1.21
3.2661359310150146,-0.074,1.235,0.309,1.275
3.2770159244537354,-0.139,1.25,0.318,1.297
3.2877578735351562,-0.185,1.243,0.26,1.283
3.297684907913208,-0.207,1.239,0.208,1.273
3.307343006134033,-0.199,1.246,0.209,1.279
3.3165509700775146,-0.163,1.288,0.225,1.318
3.3395888805389404,-0.025,1.479,0.259,1.502
3.343404769897461,-0.025,1.479,0.259,1.502
3.3481860160827637,-0.028,1.618,0.236,1.635
3.35787296295166,-0.033,1.766,0.124,1.771
3.3662919998168945,0.009,1.864,-0.062,1.865
3.3769607543945312,0.046,1.851,-0.213,1.864
3.3881728649139404,0.055,1.744,-0.259,1.764
3.3978347778320312,0.112,1.586,-0.174,1.599
3.407425880432129,0.252,1.437,0.002,1.459
3.4167118072509766,0.39,1.348,0.072,1.405
3.4390828609466553,0.527,1.274,-0.038,1.379
3.441741943359375,0.527,1.274,-0.038,1.379
3.4473609924316406,0.551,1.205,-0.057,1.326
3.4583120346069336,0.591,1.132,0.027,1.277
3.4664459228515625,0.637,1.078,0.137,1.26
3.47696590423584,0.64,1.067,0.169,1.256
3.4883439540863037,0.576,1.048,0.17,1.208
3.498121976852417,0.462,1.015,0.158,1.126
3.5068938732147217,0.307,0.955,0.117,1.01
3.516860008239746,0.124,0.935,0.099,0.948
3.5398659706115723,-0.041,0.999,0.328,1.052
3.542726993560791,-0.041,0.999,0.328,1.052
3.547374963760376,0.02,1.031,0.297,1.073
3.55828595161438,0.089,0.992,0.134,1.005
3.566627025604248,0.158,0.928,0.036,0.942
3.577624797821045,0.225,0.876,0.026,0.905
3.5882389545440674,0.352,0.935,-0.016,0.999
3.598111867904663,0.375,0.936,0.041,1.009
3.60709285736084,0.234,0.811,-0.076,0.847
3.6170740127563477,0.058,0.734,-0.134,0.748
3.6401798725128174,-0.271,0.842,0.174,0.901
3.6432137489318848,-0.271,0.842,0.174,0.901
3.6475677490234375,-0.286,0.873,0.379,0.994
3.6586599349975586,-0.162,0.852,0.452,0.978
3.6668078899383545,-0.027,0.794,0.433,0.905
3.677565097808838,0.059,0.689,0.378,0.788
3.688620090484619,0.101,0.553,0.292,0.633
3.698225975036621,0.102,0.434,0.213,0.494
3.707179069519043,0.081,0.367,0.201,0.426
3.7172107696533203,0.065,0.349,0.243,0.43
3.7405989170074463,0.007,0.443,0.365,0.574
3.743669033050537,0.007,0.443,0.365,0.574
3.747868061065674,-0.021,0.57,0.467,0.737
3.7588958740234375,-0.039,0.686,0.569,0.892
3.766995906829834,-0.067,0.744,0.619,0.97
3.7775650024414062,-0.119,0.757,0.633,0.994
3.788701057434082,-0.144,0.729,0.639,0.98
3.798614025115967,-0.158,0.69,0.627,0.946
3.807429790496826,-0.196,0.673,0.639,0.949
3.8174080848693848,-0.22,0.671,0.671,0.974
3.8403449058532715,-0.277,0.657,0.612,0.94
3.843381881713867,-0.277,0.657,0.612,0.94
3.847874879837036,-0.212,0.521,0.382,0.68
3.858797073364258,-0.046,0.409,0.265,0.49
3.8671369552612305,0.183,0.438,0.434,0.643
3.8778979778289795,0.43,0.59,0.403,0.834
3.8892159461975098,0.609,0.832,0.268,1.065
3.89882493019104,0.77,1.102,0.248,1.367
3.907219886779785,0.771,1.482,0.19,1.681
3.917181968688965,0.587,1.957,0.078,2.045
3.9405879974365234,-0.189,2.261,0.468,2.317
3.9436120986938477,-0.189,2.261,0.468,2.317
3.9480390548706055,-0.118,1.694,0.411,1.747
3.959293842315674,0.045,1.183,0.239,1.208
3.9672749042510986,0.103,0.98,0.137,0.995
3.9788498878479004,0.16,0.937,0.157,0.963
3.9890849590301514,0.18,0.935,0.158,0.965
3.998779773712158,0.142,0.932,0.166,0.957
4.007737874984741,0.069,0.896,0.13,0.908
4.017673015594482,0.033,0.819,0.032,0.82
4.040493965148926,0.09,0.607,-0.062,0.617
4.043551921844482,0.09,0.607,-0.062,0.617
4.0482258796691895,0.142,0.54,-0.036,0.56
4.059267044067383,0.162,0.522,-0.011,0.547
4.067823886871338,0.176,0.543,0.019,0.571
4.078291893005371,0.188,0.694,0.088,0.724
4.08942985534668,0.248,0.865,0.076,0.903
4.098920822143555,0.303,0.94,-0.04,0.988
4.10792088508606,0.333,1.04,-0.046,1.093
4.117835998535156,0.35,1.082,0.038,1.138
4.140599966049194,0.419,0.81,0.281,0.954
4.1436779499053955,0.419,0.81,0.281,0.954
4.14841890335083,0.313,0.736,0.32,0.861
4.1589319705963135,0.2,0.725,0.285,0.804
4.167932987213135,0.146,0.74,0.192,0.778
4.178693771362305,0.127,0.756,0.077,0.77
4.189253807067871,0.142,0.752,-0.029,0.766
4.199384927749634,0.15,0.732,-0.115,0.756
4.207934856414795,0.147,0.723,-0.166,0.756
4.218954086303711,0.143,0.736,-0.178,0.771
4.2406840324401855,0.072,0.814,-0.073,0.82
4.244020938873291,0.072,0.814,-0.073,0.82
4.2483298778533936,-0.0,0.844,0.012,0.844
4.259114742279053,-0.064,0.866,0.033,0.869
4.268110752105713,-0.109,0.891,0.015,0.898
4.278392791748047,-0.115,0.91,0.065,0.92
4.289697885513306,-0.103,0.937,0.165,0.957
4.299615859985352,-0.078,0.972,0.275,1.013
4.308155059814453,-0.073,0.994,0.28,1.035
4.318253040313721,-0.044,1.01,0.262,1.044
4.340779781341553,0.028,1.095,0.244,1.122
4.344322919845581,0.028,1.095,0.244,1.122
4.348766803741455,0.038,1.163,0.251,1.19
4.359356880187988,0.013,1.233,0.263,1.261
4.367964744567871,0.0,1.271,0.273,1.3
4.378256797790527,-0.003,1.292,0.255,1.317
4.3897600173950195,-0.01,1.32,0.233,1.34
4.3992180824279785,-0.01,1.367,0.229,1.386
4.408517837524414,0.019,1.427,0.254,1.45
4.4183619022369385,0.063,1.464,0.298,1.495
4.441112995147705,0.153,1.553,0.245,1.58
4.444597959518433,0.153,1.553,0.245,1.58
4.448258876800537,0.205,1.642,0.119,1.659
4.459417819976807,0.237,1.701,-0.024,1.718
4.4682817459106445,0.22,1.699,-0.131,1.718
4.479172945022583,0.151,1.581,-0.157,1.596
4.489898920059204,0.096,1.396,-0.116,1.404
4.499654769897461,0.173,1.224,-0.032,1.237
4.50893497467041,0.313,1.102,0.072,1.148
4.518610000610352,0.443,1.016,0.129,1.116
4.541035890579224,0.732,1.052,0.044,1.282
4.544353008270264,0.732,1.052,0.044,1.282
4.549109935760498,0.807,1.133,-0.032,1.391
4.559668064117432,0.794,1.177,-0.06,1.421
4.5685319900512695,0.721,1.176,-0.048,1.38
