time,gFx,gFy,gFz,gFTotal
0.0047149658203125,-0.199,0.142,-0.902,0.935
0.016402006149291992,-0.223,0.106,-0.903,0.936
0.024749040603637695,-0.222,0.083,-0.955,0.984
0.03397488594055176,-0.223,0.086,-0.971,1.0
0.043927907943725586,-0.233,0.09,-0.971,1.003
0.054618120193481445,-0.249,0.093,-0.962,0.998
0.06526994705200195,-0.266,0.097,-0.95,0.991
0.08352994918823242,-0.285,0.1,-0.959,1.005
0.08638310432434082,-0.285,0.1,-0.959,1.005
0.09472107887268066,-0.28,0.111,-0.926,0.974
0.10430788993835449,-0.25,0.107,-0.938,0.977
0.11659502983093262,-0.229,0.101,-0.972,1.004
0.12479281425476074,-0.227,0.098,-0.964,0.995
0.1350409984588623,-0.222,0.099,-0.926,0.957
0.1450340747833252,-0.225,0.107,-0.898,0.932
0.15539288520812988,-0.221,0.116,-0.889,0.923
0.16530203819274902,-0.211,0.119,-0.924,0.955
0.1842210292816162,-0.158,0.072,-1.125,1.138
0.18625092506408691,-0.158,0.072,-1.125,1.138
0.19507479667663574,-0.161,0.075,-1.026,1.041
0.20484185218811035,-0.196,0.113,-0.951,0.978
0.21688580513000488,-0.23,0.137,-0.918,0.956
0.22439980506896973,-0.273,0.137,-0.898,0.949
0.23537397384643555,-0.329,0.132,-0.892,0.96
0.24502205848693848,-0.362,0.132,-0.875,0.956
0.2558920383453369,-0.386,0.141,-0.86,0.953
0.26633381843566895,-0.364,0.152,-0.886,0.97
0.2826879024505615,-0.303,0.169,-0.951,1.012
0.2852170467376709,-0.271,0.199,-1.045,1.098
0.2949349880218506,-0.29,0.243,-1.155,1.215
0.3056790828704834,-0.328,0.251,-1.191,1.261
0.317410945892334,-0.392,0.203,-1.154,1.236
0.3258488178253174,-0.402,0.168,-1.093,1.177
0.3361649513244629,-0.303,0.19,-0.949,1.014
0.34557294845581055,-0.188,0.284,-0.929,0.989
0.3558340072631836,-0.093,0.402,-0.948,1.034
0.366102933883667,-0.332,0.304,-1.072,1.163
0.38405585289001465,-0.706,0.081,-1.159,1.36
0.38730406761169434,-0.8,-0.049,-1.151,1.403
0.3962438106536865,-0.671,-0.064,-1.166,1.347
0.40584778785705566,-0.537,-0.018,-1.148,1.268
0.41770195960998535,-0.615,-0.037,-0.908,1.097
0.42630791664123535,-0.71,-0.091,-0.692,0.996
0.435985803604126,-0.812,-0.102,-0.579,1.002
0.4463629722595215,-0.793,-0.067,-0.528,0.955
0.45629096031188965,-0.778,-0.049,-0.42,0.885
0.46665406227111816,-0.8,-0.05,-0.312,0.86
0.4856889247894287,-0.839,0.026,-0.256,0.878
0.4881319999694824,-0.839,0.026,-0.256,0.878
0.49614882469177246,-0.784,0.04,-0.122,0.794
0.5065548419952393,-0.746,0.057,0.038,0.749
0.5194880962371826,-0.777,0.025,0.126,0.788
0.5264770984649658,-0.764,-0.027,0.216,0.794
0.5373361110687256,-0.721,-0.024,0.273,0.771
0.547231912612915,-0.712,0.016,0.355,0.796
0.5569729804992676,-0.794,-0.158,0.782,1.126
0.5680899620056152,-0.991,-0.122,1.001,1.414
0.5854339599609375,-1.07,0.125,0.847,1.37
0.5881869792938232,-0.939,0.31,0.365,1.054
0.5971579551696777,-0.747,0.447,-0.007,0.871
0.6077220439910889,-0.69,0.484,0.024,0.843
0.6194539070129395,-0.818,0.456,0.138,0.947
0.6278109550476074,-0.934,0.404,0.09,1.022
0.6371748447418213,-1.001,0.364,0.012,1.065
0.647650957107544,-1.11,0.3,-0.007,1.15
0.6580750942230225,-1.205,0.276,-0.025,1.236
0.6683061122894287,-1.213,0.266,-0.016,1.242
0.6865818500518799,-1.088,0.323,0.012,1.135
0.6888678073883057,-1.088,0.323,0.012,1.135
0.6977550983428955,-1.015,0.335,0.016,1.069
0.7076470851898193,-0.963,0.314,0.083,1.016
0.7197048664093018,-0.826,0.304,0.074,0.883
0.7281169891357422,-0.822,0.438,0.036,0.932
0.7386491298675537,-0.912,0.509,0.074,1.047
0.7482509613037109,-0.946,0.56,0.111,1.105
0.7588679790496826,-0.961,0.541,0.083,1.106
0.7683990001678467,-1.013,0.589,0.009,1.172
0.787761926651001,-0.899,0.691,0.045,1.135
0.7903809547424316,-0.899,0.691,0.045,1.135
0.798602819442749,-0.835,0.661,0.066,1.067
0.8080909252166748,-0.723,0.784,0.095,1.071
0.8200809955596924,-0.65,0.907,0.167,1.128
0.8282599449157715,-0.664,0.888,0.195,1.126
0.8383438587188721,-0.677,0.795,0.218,1.067
0.8488109111785889,-0.637,0.7,0.213,0.97
0.8587501049041748,-0.571,0.598,0.133,0.837
0.868818998336792,-0.579,0.519,0.015,0.778
0.888559103012085,-0.708,0.53,-0.164,0.899
0.890084981918335,-0.708,0.53,-0.164,0.899
0.8986670970916748,-0.752,0.51,-0.217,0.934
0.9093489646911621,-0.796,0.495,-0.242,0.968
0.9212977886199951,-0.855,0.525,-0.237,1.031
0.9288780689239502,-0.981,0.583,-0.22,1.162
0.9396698474884033,-1.077,0.583,-0.226,1.245
0.9497599601745605,-1.007,0.555,0.364,1.206
0.9592399597167969,-0.751,0.723,3.032,3.206
0.9692690372467041,-0.611,0.61,1.279,1.543
0.988048791885376,-0.641,0.479,-0.132,0.811
0.9906659126281738,-0.648,0.52,-0.155,0.845
1.000304937362671,-0.646,0.553,-0.435,0.955
1.0093138217926025,-0.632,0.543,-0.428,0.937
1.0213069915771484,-0.604,0.553,-0.129,0.829
1.0302097797393799,-0.594,0.635,0.674,1.1
1.0394909381866455,-0.592,0.678,0.916,1.284
1.0501668453216553,-0.584,0.6,0.167,0.854
1.0596678256988525,-0.625,0.552,-0.051,0.835
1.0696749687194824,-0.68,0.577,0.099,0.897
1.088123083114624,-0.726,0.636,0.313,1.015
1.0904979705810547,-0.735,0.687,0.351,1.066
1.100881814956665,-0.76,0.736,0.205,1.078
1.1100099086761475,-0.785,0.796,0.055,1.119
1.1218109130859375,-0.774,0.859,0.034,1.157
1.1312878131866455,-0.763,0.922,0.151,1.206
1.1402781009674072,-0.731,0.948,0.277,1.229
1.1507909297943115,-0.677,0.935,0.222,1.176
1.1610939502716064,-0.615,0.903,0.159,1.104
1.1705029010772705,-0.559,0.883,0.138,1.054
1.1885640621185303,-0.539,0.896,0.16,1.058
1.190863847732544,-0.518,0.936,0.217,1.092
1.2007768154144287,-0.485,0.971,0.268,1.118
1.210575819015503,-0.451,0.976,0.295,1.115
1.222188949584961,-0.428,0.925,0.236,1.046
1.2315750122070312,-0.38,0.717,-0.003,0.811
1.2407009601593018,-0.548,0.584,0.097,0.807
1.2509009838104248,-0.71,0.648,0.491,1.079
1.2609179019927979,-0.766,0.787,0.399,1.168
1.271125078201294,-0.752,0.913,0.185,1.197
1.2899720668792725,-0.641,0.947,0.202,1.161
1.2920820713043213,-0.554,0.95,0.249,1.128
1.3012330532073975,-0.477,0.888,0.226,1.033
1.3113248348236084,-0.466,0.812,0.193,0.956
1.3231661319732666,-0.467,0.767,0.196,0.919
1.3323869705200195,-0.464,0.729,0.218,0.891
1.3411459922790527,-0.473,0.705,0.231,0.88
1.3521320819854736,-0.478,0.686,0.228,0.867
1.3619179725646973,-0.492,0.687,0.219,0.873
1.3717949390411377,-0.495,0.698,0.247,0.891
1.3893489837646484,-0.476,0.707,0.265,0.893
1.3916690349578857,-0.465,0.73,0.258,0.903
1.4017789363861084,-0.454,0.775,0.23,0.927
1.4117369651794434,-0.428,0.834,0.171,0.953
1.4235279560089111,-0.448,0.903,0.186,1.025
1.4320249557495117,-0.526,0.95,0.251,1.115
1.4417459964752197,-0.628,0.883,0.265,1.115
1.4522879123687744,-0.658,0.766,0.268,1.045
1.4628188610076904,-0.6,0.707,0.28,0.969
1.472287893295288,-0.549,0.693,0.271,0.925
1.4902660846710205,-0.526,0.708,0.244,0.915
1.4930129051208496,-0.542,0.724,0.234,0.934
1.5022881031036377,-0.572,0.741,0.242,0.967
1.5123350620269775,-0.533,0.722,0.26,0.934
1.5241358280181885,-0.54,0.709,0.317,0.946
1.5323898792266846,-0.576,0.749,0.294,0.99
1.5430889129638672,-0.575,0.75,0.241,0.975
1.5531318187713623,-0.558,0.724,0.273,0.954
1.564100980758667,-0.532,0.666,0.319,0.91
1.5727739334106445,-0.529,0.622,0.349,0.888
1.5910799503326416,-0.546,0.596,0.374,0.891
1.593691110610962,-0.575,0.607,0.369,0.914
1.60298490524292,-0.602,0.62,0.32,0.922
1.6129119396209717,-0.627,0.628,0.313,0.941
1.6254909038543701,-0.671,0.688,0.345,1.021
1.6334331035614014,-0.718,0.82,0.384,1.156
1.6430928707122803,-0.76,0.897,0.406,1.244
1.653343915939331,-0.815,0.907,0.432,1.294
1.6636059284210205,-0.867,0.904,0.536,1.362
1.6734120845794678,-0.876,0.895,0.591,1.385
1.6922729015350342,-0.835,0.862,0.495,1.298
1.6949388980865479,-0.796,0.792,0.378,1.185
1.7037279605865479,-0.779,0.766,0.276,1.127
1.7135870456695557,-0.769,0.78,0.087,1.099
1.7266170978546143,-0.722,0.697,-0.085,1.007
1.7336409091949463,-0.731,0.676,0.101,1.001
1.743582010269165,-0.72,0.803,0.251,1.107
1.7540009021759033,-0.74,0.816,0.035,1.102
1.7640321254730225,-0.787,0.814,-0.36,1.188
1.7740199565887451,-0.744,0.788,-0.462,1.178
1.7933030128479004,-0.38,0.852,-0.238,0.963
1.7952940464019775,-0.38,0.852,-0.238,0.963
1.8040878772735596,-0.256,0.954,-0.323,1.039
1.8144099712371826,-0.173,1.016,-0.18,1.046
1.826092004776001,-0.099,1.093,0.152,1.108
1.8343019485473633,-0.121,1.254,0.494,1.353
1.8448688983917236,-0.326,1.332,0.333,1.411
1.854612112045288,-0.593,1.351,0.038,1.476
1.8648231029510498,-0.798,1.381,0.076,1.597
1.8745009899139404,-0.951,1.38,0.181,1.686
1.8917138576507568,-1.065,1.398,0.251,1.775
1.8942089080810547,-1.151,1.424,0.192,1.841
1.905121088027954,-1.276,1.414,0.125,1.909
1.9149339199066162,-1.367,1.36,0.117,1.932
1.9266078472137451,-1.357,1.29,0.079,1.874
1.9347760677337646,-1.26,1.153,0.013,1.708
1.9447338581085205,-1.158,1.038,0.02,1.555
1.955693006515503,-1.058,0.938,0.025,1.414
1.964932918548584,-0.959,0.863,0.004,1.29
1.975959062576294,-0.904,0.859,-0.046,1.248
1.9928748607635498,-0.873,0.785,-0.049,1.175
1.9953229427337646,-0.835,0.629,0.002,1.045
2.0051767826080322,-0.761,0.524,-0.023,0.924
2.0159308910369873,-0.611,0.457,-0.018,0.763
2.027743101119995,-0.375,0.41,0.005,0.556
2.035259962081909,-0.117,0.397,0.021,0.414
2.045269012451172,0.042,0.344,-0.002,0.347
2.0566139221191406,0.111,0.291,-0.065,0.318
2.0659420490264893,0.15,0.237,-0.154,0.32
2.0758540630340576,0.186,0.178,-0.249,0.358
2.094613790512085,0.219,0.146,-0.32,0.414
2.0976240634918213,0.275,0.134,-0.355,0.469
2.1058008670806885,0.315,0.161,-0.289,0.457
2.116780996322632,0.228,0.201,-0.109,0.323
2.128206968307495,0.057,0.21,0.011,0.218
2.1360459327697754,-0.063,0.322,0.094,0.341
2.1463029384613037,-0.145,0.532,0.061,0.555
2.1570098400115967,-0.218,0.809,-0.184,0.858
2.1675169467926025,-0.324,1.113,-0.431,1.237
2.176429033279419,-0.459,1.26,-0.54,1.446
2.1944029331207275,-0.48,1.376,-0.589,1.572
2.198137044906616,-0.492,1.541,-0.6,1.725
2.206545114517212,-0.702,1.517,-0.604,1.777
2.21681809425354,-0.875,1.293,-0.407,1.613
2.2285220623016357,-0.881,1.133,0.023,1.435
2.237076997756958,-0.824,1.365,0.243,1.613
2.2475340366363525,-0.734,1.572,0.148,1.741
2.2568280696868896,-0.689,1.602,0.135,1.749
2.267987012863159,-0.806,1.567,0.106,1.765
2.277588129043579,-0.98,1.528,0.093,1.818
2.2948548793792725,-1.133,1.445,0.111,1.84
2.29682993888855,-1.25,1.368,0.108,1.856
2.306934118270874,-1.365,1.273,0.139,1.872
2.317441940307617,-1.458,1.166,0.225,1.88
2.328795909881592,-1.462,1.046,0.293,1.821
2.337114095687866,-1.363,0.907,0.339,1.672
2.3472979068756104,-1.245,0.742,0.351,1.491
2.3574531078338623,-1.13,0.558,0.336,1.304
2.3681468963623047,-0.972,0.396,0.259,1.081
2.377331018447876,-0.809,0.234,0.183,0.862
2.395082950592041,-0.729,0.063,0.124,0.742
2.397798776626587,-0.622,-0.091,0.125,0.641
2.4076011180877686,-0.445,-0.235,0.109,0.515
2.4175097942352295,-0.216,-0.366,0.048,0.428
2.428921937942505,-0.01,-0.484,0.03,0.485
2.437822103500366,0.068,-0.551,-0.011,0.555
2.4476559162139893,0.062,-0.494,-0.103,0.508
2.4582040309906006,0.048,-0.356,-0.189,0.406
2.467911958694458,0.01,-0.218,-0.223,0.312
2.478199005126953,-0.002,-0.141,-0.165,0.217
2.4970009326934814,-0.022,-0.083,-0.045,0.097
2.4994499683380127,-0.076,-0.033,0.094,0.125
2.5085549354553223,-0.149,0.081,0.218,0.276
2.5187909603118896,-0.201,0.304,0.179,0.406
2.530641794204712,-0.297,0.593,-0.083,0.668
2.5384609699249268,-0.508,0.909,-0.188,1.058
2.548517942428589,-0.828,1.364,-0.284,1.621
2.558062791824341,-1.083,1.508,-0.099,1.859
2.5684850215911865,-1.403,1.645,-0.247,2.176
2.5780630111694336,-1.546,1.894,-0.392,2.476
2.5967769622802734,-1.399,1.91,-0.22,2.378
2.6009039878845215,-1.145,1.582,0.155,1.959
2.6089489459991455,-0.979,1.306,0.401,1.681
2.618914842605591,-0.911,1.378,0.227,1.667
2.630772829055786,-0.97,1.565,0.155,1.848
2.63847279548645,-1.105,1.591,0.187,1.946
2.648941993713379,-1.147,1.561,0.111,1.94
2.6586639881134033,-1.051,1.553,0.032,1.875
2.669264078140259,-0.947,1.463,-0.004,1.743
2.6789679527282715,-0.927,1.327,-0.044,1.619
2.6973609924316406,-0.924,1.256,-0.1,1.562
2.700423002243042,-0.924,1.159,-0.142,1.489
2.708906888961792,-0.869,0.983,-0.14,1.319
2.7197048664093018,-0.81,0.771,-0.069,1.12
2.7312848567962646,-0.735,0.536,0.033,0.91
2.7390878200531006,-0.543,0.34,0.059,0.643
2.7493889331817627,-0.25,0.256,0.041,0.36
2.7591397762298584,0.015,0.222,-0.031,0.225
2.769550085067749,0.194,0.159,-0.085,0.265
2.7792649269104004,0.261,0.136,-0.168,0.339
2.7977941036224365,0.307,0.109,-0.34,0.471
2.7998530864715576,0.343,0.08,-0.509,0.619
2.810404062271118,0.293,0.093,-0.558,0.637
2.8199899196624756,0.243,0.088,-0.328,0.418
2.831983804702759,0.154,0.079,-0.395,0.431
2.8397138118743896,0.025,0.222,-0.453,0.505
2.8502919673919678,-0.074,0.437,-0.096,0.453
2.8603098392486572,-0.114,0.623,0.168,0.655
2.8703877925872803,-0.147,0.813,0.149,0.84
2.880284070968628,-0.281,1.161,-0.236,1.218
2.8988139629364014,-0.422,1.593,-0.352,1.685
2.9021618366241455,-0.631,1.891,-0.491,2.053
2.910674810409546,-0.95,1.97,-0.506,2.245
2.9203948974609375,-1.189,1.869,-0.442,2.259
2.932405948638916,-1.202,1.709,-0.255,2.105
2.9404380321502686,-1.004,1.727,0.189,2.007
2.951178789138794,-0.855,1.836,0.241,2.04
2.9604649543762207,-0.848,1.836,0.232,2.036
2.9714479446411133,-0.911,1.776,0.25,2.012
2.9811770915985107,-1.066,1.68,0.209,2.001
2.999445915222168,-1.265,1.533,0.241,2.002
3.002514123916626,-1.312,1.358,0.225,1.902
3.010762929916382,-1.229,1.222,0.181,1.743
3.020937919616699,-1.213,1.074,0.158,1.628
3.0342118740081787,-1.175,0.848,0.14,1.456
3.0409600734710693,-1.054,0.657,0.107,1.247
3.051466941833496,-0.896,0.493,0.076,1.025
3.0610949993133545,-0.76,0.316,0.095,0.829
3.0715458393096924,-0.654,0.111,0.128,0.676
3.0814759731292725,-0.607,-0.083,0.181,0.639
3.1010611057281494,-0.492,-0.348,0.068,0.606
3.1035258769989014,-0.492,-0.348,0.068,0.606
3.111222982406616,-0.374,-0.421,0.001,0.563
3.12172794342041,-0.241,-0.5,0.003,0.555
3.1338350772857666,-0.064,-0.617,0.074,0.625
3.1414830684661865,0.053,-0.597,0.095,0.607
3.152527093887329,0.127,-0.457,0.045,0.476
3.1616461277008057,0.162,-0.305,-0.023,0.346
3.1721129417419434,0.078,-0.159,-0.094,0.201
3.182668924331665,0.008,-0.046,-0.057,0.074
3.2007529735565186,-0.031,0.065,0.16,0.175
3.2030649185180664,-0.078,0.218,0.386,0.45
3.211840867996216,-0.266,0.385,0.246,0.529
3.222222089767456,-0.573,0.605,-0.086,0.838
3.234389066696167,-0.795,0.827,-0.386,1.21
3.242079019546509,-0.811,0.973,-0.254,1.292
3.253080129623413,-0.869,1.285,0.193,1.563
3.262105941772461,-0.879,0.954,0.458,1.376
3.2729969024658203,-1.045,1.105,-0.148,1.528
3.283101797103882,-1.243,1.81,-0.482,2.248
3.3008649349212646,-1.381,2.368,-0.191,2.748
3.3035829067230225,-1.533,2.126,0.303,2.639
3.3128879070281982,-1.659,1.424,0.274,2.203
3.3227829933166504,-1.639,1.429,0.187,2.183
3.33503794670105,-1.504,1.568,0.14,2.177
3.342724084854126,-1.327,1.566,0.163,2.059
3.353019952774048,-1.12,1.46,0.173,1.848
3.3640289306640625,-0.986,1.336,0.157,1.668
3.3731000423431396,-0.922,1.267,0.083,1.569
3.384314775466919,-0.836,1.13,0.005,1.406
3.4010009765625,-0.799,1.073,-0.082,1.34
3.403391122817993,-0.741,0.969,-0.125,1.226
3.4144949913024902,-0.648,0.789,-0.094,1.025
3.4228408336639404,-0.539,0.598,-0.049,0.807
3.436386823654175,-0.398,0.421,-0.023,0.58
3.443248987197876,-0.219,0.347,-0.066,0.416
3.454042911529541,-0.038,0.264,-0.042,0.27
3.463578939437866,0.09,0.187,-0.015,0.208
3.4737508296966553,0.181,0.116,-0.036,0.218
3.483991861343384,0.237,0.018,-0.016,0.238
3.5017518997192383,0.239,-0.047,-0.15,0.286
3.503843069076538,0.235,0.023,-0.198,0.308
3.5142219066619873,0.275,0.09,-0.159,0.33
3.523488998413086,0.267,0.072,-0.27,0.386
3.5357978343963623,0.199,0.049,-0.351,0.406
3.543450117111206,0.134,0.14,-0.356,0.405
3.554081916809082,0.035,0.336,-0.255,0.423
3.5643749237060547,-0.034,0.523,-0.133,0.541
3.575086832046509,-0.106,0.687,-0.153,0.712
3.5845139026641846,-0.282,0.909,-0.267,0.988
3.6032299995422363,-0.37,1.25,-0.196,1.318
3.605475902557373,-0.316,1.605,-0.365,1.676
3.6149051189422607,-0.374,1.901,-0.595,2.027
3.6242048740386963,-0.697,1.94,-0.558,2.136
3.63703989982605,-1.195,1.95,-0.376,2.318
3.6447298526763916,-1.554,2.21,-0.199,2.709
3.656301975250244,-1.799,2.395,0.044,2.996
3.6660749912261963,-1.908,2.341,0.284,3.033
3.675360918045044,-1.741,2.11,0.243,2.746
3.684999942779541,-1.527,1.846,0.152,2.401
3.703665018081665,-1.361,1.539,0.234,2.068
3.706176996231079,-1.214,1.261,0.212,1.763
3.715587854385376,-1.02,1.051,0.139,1.471
3.7246949672698975,-0.86,0.915,0.066,1.257
3.7371280193328857,-0.771,0.842,-0.015,1.142
3.7448890209198,-0.775,0.766,-0.078,1.092
3.756032943725586,-0.794,0.573,-0.102,0.984
3.7655560970306396,-0.785,0.353,-0.045,0.862
3.7753829956054688,-0.751,0.17,0.01,0.77
3.7864878177642822,-0.688,-0.017,0.075,0.692
3.8042609691619873,-0.613,-0.162,0.103,0.642
3.8069350719451904,-0.493,-0.302,0.051,0.58
3.8163387775421143,-0.322,-0.454,-0.009,0.557
3.825299024581909,-0.134,-0.575,-0.069,0.594
3.8382809162139893,0.034,-0.662,-0.092,0.669
3.8457419872283936,0.166,-0.684,-0.059,0.706
3.8559911251068115,0.262,-0.581,-0.008,0.637
3.8672099113464355,0.322,-0.408,0.004,0.52
3.8759989738464355,0.268,-0.238,-0.04,0.361
3.8866279125213623,0.084,-0.179,-0.073,0.211
3.904391050338745,-0.07,-0.205,-0.042,0.221
3.9072539806365967,-0.179,-0.173,0.129,0.28
3.916929006576538,-0.32,0.113,0.259,0.427
3.926192045211792,-0.615,0.436,-0.023,0.754
3.9390029907226562,-0.845,0.584,-0.056,1.029
3.9464938640594482,-0.815,0.711,0.139,1.09
3.956479787826538,-0.91,1.132,0.187,1.464
3.9680449962615967,-1.081,1.048,0.332,1.542
3.9767048358917236,-1.143,0.812,-0.227,1.42
3.986870050430298,-1.497,1.382,-0.529,2.105
4.0048909187316895,-1.886,2.023,-0.504,2.811
4.007638931274414,-2.02,2.39,-0.32,3.146
4.0177459716796875,-1.808,2.216,0.057,2.861
4.026524782180786,-1.507,1.546,0.087,2.161
4.038873910903931,-1.311,1.29,0.075,1.841
4.046739816665649,-1.214,1.248,0.209,1.754
4.057024955749512,-1.148,1.301,0.134,1.74
4.06740403175354,-1.12,1.449,0.087,1.833
4.077121019363403,-1.087,1.578,0.033,1.916
4.0877299308776855,-1.052,1.504,-0.064,1.837
4.106729984283447,-0.703,1.061,-0.096,1.276
4.109224081039429,-0.703,1.061,-0.096,1.276
4.118880987167358,-0.611,0.773,-0.089,0.989
4.1274049282073975,-0.592,0.586,-0.053,0.835
4.139744997024536,-0.527,0.454,0.007,0.696
4.147709131240845,-0.4,0.347,0.033,0.531
4.158617973327637,-0.259,0.275,0.042,0.38
4.167903900146484,-0.137,0.248,0.018,0.284
4.178725004196167,-0.038,0.253,-0.028,0.257
4.187927961349487,0.031,0.24,-0.05,0.247
4.208071947097778,0.133,0.109,-0.178,0.247
4.210706949234009,0.133,0.109,-0.178,0.247
4.218214988708496,0.143,0.053,-0.207,0.257
4.227982997894287,0.136,0.015,-0.194,0.237
4.240693807601929,0.148,-0.065,-0.171,0.235
4.248832941055298,0.122,-0.087,-0.161,0.22
4.2589099407196045,0.058,0.012,-0.182,0.191
4.268394947052002,-0.04,0.186,-0.106,0.218
4.278177976608276,-0.145,0.372,0.021,0.4
4.288888931274414,-0.236,0.533,0.046,0.585
4.308059930801392,-0.406,0.886,-0.392,1.05
4.3108789920806885,-0.406,0.886,-0.392,1.05
4.31927490234375,-0.45,1.129,-0.192,1.23
4.3285558223724365,-0.457,1.411,-0.35,1.524
4.3408379554748535,-0.623,1.512,-0.709,1.782
4.349553823471069,-0.947,1.513,-0.388,1.827
4.359375953674316,-1.328,1.745,-0.167,2.199
4.368828058242798,-1.723,2.027,-0.085,2.662
4.379800081253052,-1.88,2.197,0.093,2.893
4.389901876449585,-1.643,2.33,0.416,2.881
4.4072511196136475,-1.25,2.256,0.672,2.665
4.409832000732422,-1.188,1.854,0.457,2.249
4.419700860977173,-1.251,1.538,0.273,2.001
4.429725885391235,-1.318,1.445,0.168,1.963
4.441663980484009,-1.371,1.411,0.095,1.97
4.449599027633667,-1.328,1.327,0.065,1.878
4.459304094314575,-1.273,1.079,0.091,1.671
4.469650983810425,-1.229,0.75,0.139,1.446
4.479521989822388,-1.144,0.481,0.098,1.245
4.49002480506897,-0.998,0.275,0.048,1.036
4.508635997772217,-0.732,-0.003,-0.073,0.736
4.511440992355347,-0.732,-0.003,-0.073,0.736
4.519972085952759,-0.637,-0.124,-0.048,0.651
4.5299389362335205,-0.534,-0.273,0.05,0.602
4.541579008102417,-0.375,-0.473,0.07,0.608
4.549923896789551,-0.15,-0.664,-0.021,0.681
4.559895992279053,0.114,-0.799,-0.091,0.812
4.570866823196411,0.355,-0.843,-0.09,0.919
4.580726861953735,0.501,-0.732,-0.058,0.889
4.590941905975342,0.458,-0.589,-0.13,0.757
4.608457803726196,0.335,-0.416,-0.074,0.539
4.611317873001099,0.222,-0.222,0.127,0.339
4.620527982711792,0.065,-0.104,0.121,0.172
4.6303551197052,-0.138,0.0,0.072,0.156
4.642673969268799,-0.355,0.13,0.071,0.385
4.650273084640503,-0.492,0.279,-0.015,0.566
4.65992283821106,-0.505,0.468,0.071,0.692
4.670795917510986,-0.591,0.603,-0.307,0.898
4.681575059890747,-0.927,1.166,-0.151,1.497
4.690911054611206,-0.999,1.256,0.536,1.692
4.71060585975647,-1.819,1.259,-0.567,2.284
4.71393084526062,-1.819,1.259,-0.567,2.284
4.72194504737854,-2.077,1.72,-0.481,2.739
4.732026815414429,-2.055,2.094,-0.044,2.934
4.743494987487793,-1.575,2.327,0.478,2.85
4.751232862472534,-1.212,2.062,0.215,2.401
4.760762929916382,-1.285,1.599,-0.024,2.051
4.7720019817352295,-1.344,1.316,0.235,1.896
4.782166957855225,-1.316,1.151,0.187,1.758
4.791402101516724,-1.265,1.106,0.067,1.682
4.810835123062134,-1.149,1.128,-0.08,1.612
4.8135998249053955,-1.149,1.128,-0.08,1.612
4.821555852890015,-1.111,1.169,-0.186,1.623
4.831191778182983,-0.966,1.261,-0.178,1.598
4.843003988265991,-0.679,1.368,-0.123,1.532
4.851650953292847,-0.467,1.265,-0.066,1.35
4.861336946487427,-0.348,0.748,-0.05,0.827
4.8718321323394775,-0.216,0.352,-0.026,0.414
4.882117033004761,-0.063,0.212,-0.015,0.222
4.8916261196136475,0.075,0.219,-0.058,0.239
4.91106390953064,0.248,0.244,-0.204,0.403
4.913902997970581,0.248,0.244,-0.204,0.403
4.922166109085083,0.253,0.184,-0.187,0.364
4.93229603767395,0.207,0.113,-0.154,0.282
4.94481897354126,0.142,0.029,-0.116,0.186
4.952173948287964,0.072,-0.046,-0.08,0.117
4.962024927139282,0.006,-0.062,-0.04,0.074
4.972723007202148,-0.052,-0.007,-0.016,0.055
4.982674837112427,-0.103,0.072,-0.047,0.134
4.992224931716919,-0.164,0.163,-0.091,0.248
5.0110228061676025,-0.208,0.308,-0.082,0.381
5.013345003128052,-0.262,0.501,-0.084,0.572
5.023281812667847,-0.293,0.738,-0.328,0.859
5.03276801109314,-0.374,1.069,-0.553,1.26
5.044350862503052,-0.41,1.437,-0.453,1.561
5.053371906280518,-0.556,1.792,-0.789,2.035
5.062536001205444,-1.044,1.814,-0.675,2.199
5.072905778884888,-1.477,1.898,-0.323,2.427
5.083204984664917,-1.677,2.185,-0.264,2.767
5.093860864639282,-1.505,2.261,-0.125,2.719
5.110566854476929,-1.212,2.209,0.202,2.528
5.114398002624512,-1.1,2.187,0.439,2.487
5.1234800815582275,-1.228,2.039,0.439,2.42
5.134500980377197,-1.315,1.74,0.36,2.211
5.144904851913452,-1.358,1.495,0.321,2.045
5.153542995452881,-1.366,1.401,0.255,1.973
5.163612127304077,-1.309,1.323,0.19,1.871
5.173548936843872,-1.203,1.201,0.184,1.71
5.1835777759552,-1.043,1.066,0.138,1.498
5.193457841873169,-0.929,0.859,0.009,1.265
5.212502956390381,-0.904,0.619,-0.031,1.096
5.214951992034912,-0.845,0.402,-0.018,0.936
5.224124908447266,-0.743,0.221,-0.107,0.783
5.23458194732666,-0.598,0.026,-0.132,0.613
5.245529890060425,-0.483,-0.136,-0.06,0.505
5.253782033920288,-0.356,-0.313,0.037,0.475
5.264188051223755,-0.163,-0.493,0.049,0.522
5.273889780044556,-0.036,-0.55,0.039,0.553
5.285123109817505,0.053,-0.62,0.058,0.625
5.294028043746948,0.121,-0.657,0.082,0.673
5.312052011489868,0.13,-0.614,0.099,0.635
5.315162897109985,0.118,-0.591,0.117,0.614
5.324927091598511,0.097,-0.538,0.105,0.557
5.334733009338379,0.147,-0.567,-0.312,0.664
5.346049070358276,0.312,-0.799,-1.191,1.468
5.354501008987427,0.333,-0.755,-0.088,0.83
5.364666938781738,0.233,-0.314,0.779,0.872
5.37428092956543,-0.075,0.12,-0.105,0.176
5.385849952697754,-0.384,0.585,-0.18,0.723
