time,gFx,gFy,gFz,gFTotal
0.001300811767578125,0.012,-0.236,-1.009,1.036
0.0014529228210449219,0.012,-0.236,-1.009,1.036
0.0015869140625,0.012,-0.236,-1.009,1.036
0.005419731140136719,0.023,-0.249,-1.016,1.046
0.015726804733276367,0.019,-0.254,-0.981,1.014
0.027215003967285156,0.012,-0.239,-0.946,0.976
0.0365300178527832,0.012,-0.24,-0.903,0.934
0.04687380790710449,0.008,-0.264,-0.861,0.901
0.05659294128417969,0.014,-0.28,-0.85,0.895
0.06713080406188965,0.016,-0.285,-0.875,0.92
0.09641170501708984,-0.08,-0.25,-0.916,0.953
0.09656190872192383,-0.08,-0.25,-0.916,0.953
0.09669876098632812,-0.08,-0.25,-0.916,0.953
0.10515069961547852,-0.067,-0.221,-0.851,0.882
0.115386962890625,-0.059,-0.191,-0.861,0.884
0.12651681900024414,-0.036,-0.137,-0.974,0.984
0.1364448070526123,-0.04,-0.108,-0.987,0.994
0.14620089530944824,-0.092,-0.099,-0.974,0.983
0.15622568130493164,-0.197,-0.078,-1.069,1.09
0.16642475128173828,-0.162,-0.041,-0.929,0.944
0.1951580047607422,-0.015,-0.079,-0.729,0.733
0.19530987739562988,-0.015,-0.079,-0.729,0.733
0.19544291496276855,-0.015,-0.079,-0.729,0.733
0.20432686805725098,0.004,-0.096,-0.604,0.612
0.21465778350830078,0.011,-0.212,-0.488,0.532
0.22589588165283203,0.032,-0.368,-0.468,0.596
0.2357177734375,0.233,-0.539,-0.684,0.901
0.2459559440612793,0.676,-0.608,-1.08,1.412
0.25582170486450195,0.574,-0.386,-1.008,1.223
0.2659568786621094,0.331,-0.131,-0.842,0.914
0.2958369255065918,-0.007,-0.187,-0.727,0.751
0.29598569869995117,-0.007,-0.187,-0.727,0.751
0.29612088203430176,-0.007,-0.187,-0.727,0.751
0.3038449287414551,-0.005,-0.286,-0.956,0.998
0.3158450126647949,-0.092,-0.296,-0.917,0.968
0.32517099380493164,-0.202,-0.192,-0.627,0.686
0.33531689643859863,-0.255,0.038,-0.853,0.891
0.34554195404052734,-0.21,0.368,-1.013,1.098
0.3553190231323242,-0.149,0.519,-0.967,1.108
0.3652229309082031,0.056,0.228,-0.686,0.725
0.3986949920654297,0.191,-0.704,-0.823,1.1
0.39882898330688477,0.191,-0.704,-0.823,1.1
0.398958683013916,0.191,-0.704,-0.823,1.1
0.40324974060058594,0.014,-0.407,-0.673,0.787
0.41516971588134766,-0.168,0.133,-0.732,0.763
0.4248008728027344,-0.231,0.356,-0.773,0.882
0.4347419738769531,-0.175,0.233,-0.768,0.821
0.4449577331542969,-0.095,0.053,-0.742,0.75
0.45472288131713867,-0.08,0.036,-0.76,0.765
0.4651217460632324,-0.021,0.128,-0.793,0.804
0.49709272384643555,-0.241,0.399,-1.242,1.327
0.4972410202026367,-0.241,0.399,-1.242,1.327
0.4973719120025635,-0.241,0.399,-1.242,1.327
0.5025448799133301,0.109,0.452,-1.091,1.186
0.513131856918335,0.357,0.264,-0.703,0.831
0.5242438316345215,0.106,-0.053,-0.506,0.52
0.5341968536376953,0.142,0.18,-0.299,0.377
0.5445199012756348,0.472,0.533,-0.254,0.756
0.5538978576660156,0.213,0.644,-0.703,0.977
0.5644848346710205,0.215,0.802,-1.454,1.674
0.592278003692627,0.428,0.424,-1.642,1.749
0.5924398899078369,0.428,0.424,-1.642,1.749
0.5925726890563965,0.428,0.424,-1.642,1.749
0.6023406982421875,0.368,0.318,-1.475,1.553
0.6124129295349121,0.279,0.217,-1.346,1.392
0.6238808631896973,0.166,0.162,-1.278,1.299
0.6335949897766113,0.063,0.196,-1.197,1.215
0.6441397666931152,0.017,0.25,-1.203,1.229
0.6535539627075195,-0.023,0.185,-1.206,1.22
0.6638448238372803,-0.098,0.167,-1.184,1.2
0.6946549415588379,-0.224,0.172,-0.787,0.836
0.6948027610778809,-0.224,0.172,-0.787,0.836
0.6949367523193359,-0.224,0.172,-0.787,0.836
0.7016808986663818,-0.228,0.262,-0.573,0.67
0.7133119106292725,-0.301,0.444,-0.542,0.763
0.7231578826904297,-0.101,0.551,-0.474,0.734
0.7329678535461426,0.236,0.422,-0.45,0.661
0.7432470321655273,0.364,0.44,-0.459,0.733
0.7531700134277344,0.29,0.554,-0.266,0.68
0.7631068229675293,0.01,0.681,-0.148,0.697
0.7908496856689453,-0.499,0.841,-0.338,1.035
0.791193962097168,-0.628,0.81,-0.459,1.123
0.7918939590454102,-0.628,0.81,-0.459,1.123
0.8012518882751465,-0.705,0.778,-0.425,1.133
0.8112268447875977,-0.844,0.821,-0.245,1.203
0.822880744934082,-1.05,0.93,-0.024,1.403
0.8322708606719971,-1.405,0.974,0.34,1.743
0.8423998355865479,-1.638,1.13,0.604,2.08
0.8523948192596436,-1.792,1.123,0.687,2.224
0.8631958961486816,-1.909,0.924,0.869,2.292
0.8920078277587891,-2.125,1.035,0.941,2.544
0.8921546936035156,-2.125,1.035,0.941,2.544
0.8923017978668213,-2.125,1.035,0.941,2.544
0.9009819030761719,-2.034,1.029,1.041,2.506
0.9113748073577881,-1.784,0.998,1.478,2.523
0.9222297668457031,-1.522,1.07,1.391,2.323
0.9318637847900391,-1.478,1.131,0.94,2.085
0.9417288303375244,-1.375,1.021,0.545,1.797
0.9522168636322021,-1.164,0.948,0.369,1.546
0.9620728492736816,-1.003,0.94,0.289,1.405
0.993474006652832,-0.521,0.709,-0.112,0.887
0.9936227798461914,-0.521,0.709,-0.112,0.887
0.9937558174133301,-0.521,0.709,-0.112,0.887
