time,gFx,gFy,gFz,gFTotal
0.004351854,0.148,-0.275,-0.709,0.775
0.00939393,0.098,-0.295,-0.685,0.752
0.032850027,0.12,-0.323,-0.693,0.774
0.036695004,0.154,-0.31,-0.681,0.764
0.041380167,0.154,-0.31,-0.681,0.764
0.048472166,0.155,-0.289,-0.727,0.798
0.057124853,0.122,-0.335,-0.806,0.881
0.068248987,0.118,-0.41,-0.836,0.939
0.079090834,0.125,-0.44,-0.833,0.95
0.088279009,0.116,-0.45,-0.857,0.975
0.097997904,0.131,-0.449,-0.89,1.005
0.10717988,0.132,-0.44,-0.905,1.015
0.118301153,0.105,-0.489,-0.888,1.019
0.134230852,0.088,-0.61,-0.81,1.018
0.139837027,0.039,-0.621,-0.86,1.061
0.148830175,0.206,-0.534,-0.903,1.069
0.157194853,0.202,-0.474,-0.933,1.066
0.168375015,0.193,-0.473,-0.944,1.073
0.178987026,0.371,-0.394,-0.957,1.099
0.188328028,0.413,-0.36,-1.045,1.18
0.198211908,0.385,-0.289,-1.071,1.174
0.207204103,0.409,-0.211,-1.007,1.107
0.218430042,0.429,-0.163,-0.896,1.007
0.233335018,0.424,-0.154,-0.748,0.873
0.239081144,0.391,-0.176,-0.632,0.764
0.249646902,0.327,-0.215,-0.574,0.695
0.257444143,0.273,-0.212,-0.544,0.645
0.268569946,0.262,-0.109,-0.49,0.566
0.278887987,0.28,0.062,-0.413,0.503
0.288624048,0.296,0.222,-0.267,0.456
0.297191858,0.305,0.311,-0.179,0.471
0.307367086,0.318,0.415,-0.163,0.548
0.318511963,0.394,0.557,-0.18,0.706
0.333738089,0.512,0.709,-0.202,0.898
0.339359999,0.761,0.93,-0.738,1.41
0.350502014,0.923,1.161,-0.688,1.635
0.357702017,0.972,1.215,-0.083,1.558
0.368685961,0.992,1.019,-0.065,1.424
0.379364967,0.853,0.798,-0.022,1.168
0.388778925,0.904,0.705,-0.025,1.147
0.397626162,1.098,0.695,-0.048,1.3
0.407762051,1.308,0.664,-0.129,1.473
0.418622017,1.458,0.606,-0.246,1.598
0.434047937,1.569,0.46,-0.315,1.665
0.439666033,1.635,0.218,-0.349,1.686
0.450093985,1.722,-0.042,-0.398,1.768
0.457710981,1.875,-0.147,-0.441,1.932
0.469300032,2.059,-0.191,-0.518,2.132
0.479956865,2.132,-0.245,-0.722,2.264
0.489022017,1.974,-0.37,-0.952,2.223
0.497752905,1.765,-0.485,-1.015,2.093
0.507853985,1.772,-0.42,-0.612,1.921
0.518946886,1.736,-0.33,-0.147,1.773
0.534741163,1.554,-0.312,0.088,1.587
0.540439844,1.397,-0.301,0.262,1.453
0.550129175,1.283,-0.258,0.424,1.376
0.558210135,1.21,-0.19,0.562,1.348
0.569165945,1.209,-0.157,0.703,1.407
0.579668999,1.262,-0.13,0.806,1.503
0.589194059,1.319,-0.1,0.809,1.551
0.598048925,1.289,-0.102,0.787,1.514
0.608006954,1.282,-0.139,0.733,1.483
0.619222879,1.396,-0.275,0.503,1.509
0.635900021,1.489,-0.429,0.393,1.599
0.641962051,1.489,-0.429,0.393,1.599
0.650218964,1.376,-0.322,0.598,1.534
0.658223867,1.23,-0.097,0.771,1.455
0.669270039,1.065,0.03,0.854,1.365
0.679844141,1.031,0.067,0.854,1.34
0.689513922,1.063,0.139,0.752,1.31
0.698013067,1.133,0.228,0.616,1.31
0.708176851,1.201,0.285,0.484,1.326
0.71907115,1.23,0.303,0.393,1.326
0.735502005,1.203,0.319,0.348,1.292
0.741080046,1.141,0.34,0.302,1.228
0.750189066,1.076,0.335,0.257,1.156
0.758486986,0.981,0.287,0.234,1.049
0.769579172,0.925,0.196,0.215,0.97
0.780063868,0.946,0.066,0.172,0.964
0.789531946,0.992,-0.063,0.084,0.998
0.79842782,1.008,-0.181,0.005,1.024
0.808163881,0.976,-0.197,-0.114,1.002
0.819173098,1.007,-0.006,-0.261,1.04
0.834880114,1.069,0.204,-0.408,1.162
0.840710878,1.075,0.342,-0.492,1.231
0.850267172,1.091,0.362,-0.337,1.198
0.858504057,1.042,0.394,-0.004,1.114
0.869730949,0.991,0.525,0.313,1.164
0.880182028,1.064,0.737,0.513,1.392
0.88973403,1.211,0.869,0.545,1.587
0.898566008,1.275,0.839,0.465,1.596
0.908782959,1.345,0.81,0.346,1.608
0.919785023,1.49,0.791,0.235,1.703
0.937029123,1.771,0.661,0.061,1.891
0.942458868,1.771,0.661,0.061,1.891
0.949732065,1.868,0.658,0.089,1.983
0.958924055,1.967,0.587,0.188,2.061
0.970775843,2.092,0.478,0.328,2.171
0.981260061,2.13,0.357,0.482,2.213
0.990563154,2.175,0.248,0.607,2.272
0.999996901,2.231,0.176,0.635,2.326
1.015352964,2.13,0.089,0.587,2.211
1.02162385,1.963,0.087,0.543,2.039
1.038599968,1.554,0.262,0.663,1.71
1.04321003,1.554,0.262,0.663,1.71
1.049929857,1.199,0.347,0.682,1.422
1.059028864,0.912,0.446,0.605,1.182
1.070110083,0.758,0.535,0.556,1.082
1.080632925,0.633,0.546,0.499,0.974
1.090049982,0.47,0.49,0.389,0.783
1.099107981,0.333,0.428,0.285,0.613
1.109292984,0.278,0.354,0.216,0.499
1.120246172,0.255,0.217,0.194,0.387
1.137323141,0.108,0,0.129,0.168
1.142570019,0.108,0,0.129,0.168
1.149731874,-0.014,0.029,0.056,0.065
1.159191847,-0.131,0.131,-0.076,0.2
1.170624018,-0.247,0.208,-0.265,0.418
1.180623055,-0.287,0.227,-0.377,0.525
1.190337896,-0.18,0.201,-0.307,0.409
1.199301958,-0.018,0.065,-0.23,0.24
1.209262133,0.096,-0.027,-0.193,0.217
1.220668077,0.179,-0.025,-0.182,0.256
1.237787962,0.086,0.044,0.013,0.097
1.242736101,0.086,0.044,0.013,0.097
1.249868155,0.034,0.155,0.271,0.314
1.259332895,0.12,0.125,0.488,0.518
1.270714998,0.294,-0.025,0.623,0.689
1.280822992,0.578,-0.061,0.401,0.706
1.290472984,0.707,-0.15,0.106,0.73
1.299669981,0.741,-0.12,-0.059,0.753
1.309415102,0.734,0.107,-0.043,0.743
1.320613146,0.542,0.417,0.204,0.714
1.337705851,0.437,0.912,0.588,1.17
1.343132019,0.437,0.912,0.588,1.17
1.35050416,0.595,0.934,0.746,1.335
1.359850168,1.296,0.35,0.043,1.343
1.370783091,1.856,-0.262,-0.103,1.877
1.381505013,2.326,-0.111,0.173,2.335
1.390856981,2.581,0.218,0.287,2.606
1.400254965,2.564,0.289,0.302,2.598
1.4106071,2.426,0.292,0.371,2.472
1.420920134,2.168,0.373,0.526,2.262
1.437258005,1.929,0.594,0.683,2.131
1.442512989,1.773,0.846,0.737,2.098
1.450348139,1.705,0.969,0.672,2.073
1.459695101,1.479,0.947,0.602,1.857
1.470953941,1.224,0.817,0.515,1.559
1.481030941,1.067,0.662,0.406,1.32
1.490936995,0.997,0.443,0.302,1.132
1.499663115,0.988,0.163,0.382,1.072
1.509624004,0.942,-0.044,0.505,1.07
1.520619154,0.891,-0.191,0.5,1.039
1.536350965,0.873,-0.295,0.498,1.047
1.542124033,0.868,-0.248,0.608,1.088
1.55023098,0.841,-0.377,0.69,1.151
1.560898066,0.577,-0.468,0.705,1.024
1.57138896,0.247,-0.387,0.595,0.752
1.581415892,0.116,-0.423,0.222,0.492
1.591109037,0.073,-0.208,0.017,0.221
1.600110054,0.121,0.183,-0.069,0.23
1.61002183,0.064,0.355,-0.157,0.393
1.621441126,0.02,0.355,-0.209,0.412
1.638776064,-0.022,0.143,-0.137,0.199
1.643801928,-0.022,0.143,-0.137,0.199
1.650549173,0.096,0.151,-0.052,0.186
1.660375834,0.3,0.226,-0.014,0.376
1.671550989,0.535,0.303,-0.057,0.617
1.681464911,0.803,0.365,-0.141,0.893
1.691403151,1.15,0.505,-0.153,1.265
1.700113058,1.547,0.711,-0.095,1.705
1.710358858,1.983,0.947,-0.007,2.198
1.722234011,2.383,1.156,0.011,2.649
1.741261959,2.694,1.357,-0.353,3.037
1.745522976,2.694,1.357,-0.353,3.037
1.751340151,2.772,1.377,-0.628,3.158
1.761342049,2.795,1.376,-0.723,3.198
1.772185087,2.607,1.233,-0.46,2.92
1.782171011,2.366,0.959,-0.118,2.556
1.792465925,2.424,0.819,0.091,2.56
1.80054307,2.527,0.695,0.192,2.628
1.811072111,2.417,0.543,0.35,2.502
1.821376085,2.148,0.349,0.69,2.283
1.837713957,1.782,0.138,0.957,2.027
1.843390942,1.222,0.034,0.91,1.524
1.851171017,0.111,0.361,1.4,1.45
1.860797167,-0.202,0.796,2.098,2.253
1.871701956,-0.093,0.507,1.248,1.35
1.881762981,-0.101,0.184,0.1,0.233
1.891709089,-0.288,0.185,0.187,0.39
1.900683165,-0.574,0.11,0.519,0.782
1.910795927,-0.747,-0.066,0.115,0.759
1.921840906,-0.891,-0.124,-0.212,0.924
1.939225912,-0.714,0.233,-0.892,1.166
1.944678068,-0.714,0.233,-0.892,1.166
1.951243162,-0.491,0.335,-1.07,1.224
1.961215019,-0.307,0.223,-1.17,1.23
1.971801043,0.042,0.084,-0.981,0.985
1.982002974,0.354,0.02,-0.636,0.728
1.991891146,0.428,-0.047,-0.394,0.584
2.001075029,0.302,-0.071,-0.209,0.374
2.013263941,0.166,0.097,0.028,0.194
2.035364866,0.305,0.112,0.653,0.729
2.037585974,0.305,0.112,0.653,0.729
2.042472124,0.519,0.071,0.925,1.063
2.051463842,0.529,0.231,0.737,0.936
2.061567068,0.374,0.173,0.501,0.649
2.072065115,0.263,0.076,0.275,0.388
2.082247019,0.844,0.304,-0.61,1.085
2.092137098,1.473,0.911,-0.488,1.799
2.101207018,1.057,1.308,0.594,1.784
2.111603022,0.322,1.422,1.466,2.068
2.122053862,0.178,1.33,1.23,1.82
2.139774084,1.979,0.165,-0.371,2.02
2.145654917,1.979,0.165,-0.371,2.02
2.151983023,2.147,0.99,0.09,2.366
2.161582947,1.951,1.585,0.075,2.515
2.172221899,1.813,1.875,-0.008,2.608
2.182590961,1.826,2.2,0.116,2.861
2.19304204,1.869,2.428,0.324,3.081
2.201365948,1.777,2.251,0.38,2.893
2.21181798,1.669,1.739,0.374,2.439
2.22242403,1.703,1.186,0.286,2.095
2.240669966,2.147,0.061,0.4,2.185
2.246345997,2.147,0.061,0.4,2.185
2.252814054,1.948,-0.244,0.501,2.026
2.262061834,1.506,-0.348,0.539,1.637
2.272482157,0.938,-0.398,0.503,1.136
2.282577991,0.533,-0.216,0.558,0.801
2.292507887,0.348,0.17,0.676,0.779
2.302011013,0.321,0.486,0.863,1.041
2.311941862,0.332,0.425,1.582,1.671
2.322149038,0.213,-0.268,1.37,1.412
2.339020014,-0.213,-0.641,0.188,0.701
2.345150948,-0.653,-0.405,-0.347,0.843
2.3526299,-0.617,0.046,-0.145,0.635
2.362360954,-0.091,0.391,-0.237,0.466
2.372799158,0.236,0.413,-0.435,0.645
2.383316994,0.146,0.096,-0.252,0.307
2.392642021,0.2,-0.334,0.354,0.526
2.401628971,0.389,-0.088,0.438,0.592
2.412250042,0.516,0.226,0.165,0.587
2.422816992,0.353,0.37,-0.038,0.513
2.440397978,0.558,0.8,-0.125,0.983
2.445613146,0.558,0.8,-0.125,0.983
2.452054977,0.882,0.943,-0.177,1.303
2.462301016,1.352,1.158,-0.209,1.792
2.473110914,1.823,1.632,-0.079,2.448
2.483134985,2.142,2.235,0.26,3.107
2.493397951,2.289,2.237,0.319,3.216
2.502218008,2.082,2.075,0.123,2.942
2.513177156,2.119,2.292,0.375,3.144
2.523205996,2.416,2.542,0.604,3.559
2.542171955,2.077,1.581,0.579,2.674
2.54558301,2.077,1.581,0.579,2.674
2.553055048,2.233,1.423,1.668,3.129
2.563738108,2.355,1.243,2.399,3.584
2.573359966,2.096,0.919,2.168,3.152
2.583034992,1.712,0.554,1.276,2.206
2.593095064,1.05,0.085,0.755,1.296
2.60206604,0.671,0.109,0.487,0.836
2.612671137,0.325,0.125,0.249,0.428
2.623172045,0.108,0.107,0.14,0.207
2.640285969,-0.152,-0.056,-0.053,0.17
2.645757914,-0.152,-0.056,-0.053,0.17
2.652873993,-0.382,-0.25,-0.183,0.492
2.663002014,-0.655,-0.42,-0.244,0.815
2.673095942,-0.99,-0.42,-0.198,1.093
2.683251143,-1.216,-0.378,-0.112,1.278
2.693217993,-1.145,-0.313,-0.375,1.245
2.702332973,-0.819,-0.099,-0.398,0.916
2.713165998,-0.648,-0.06,-0.297,0.715
2.724065065,-0.697,-0.209,-0.513,0.89
2.741358995,-0.268,0.19,-0.022,0.329
2.746362925,-0.268,0.19,-0.022,0.329
2.752588987,0.014,0.506,0.207,0.547
2.763564825,0.135,0.539,0.443,0.711
2.77344203,0.243,0.371,0.572,0.724
2.783578157,0.347,0.036,0.377,0.514
2.793449163,0.607,0.227,0.261,0.699
2.802417994,0.657,0.498,0.303,0.878
2.813055038,0.513,0.437,0.302,0.738
2.823649168,0.505,0.375,0.224,0.668
2.841276884,0.384,0.826,0.08,0.914
2.846576929,0.384,0.826,0.08,0.914
2.852735996,0.337,0.869,-0.055,0.934
2.863226175,0.547,1.298,-0.157,1.417
2.873762846,0.817,1.74,-0.417,1.967
2.883685827,1.31,2.02,-0.538,2.467
2.895292997,1.493,2.101,-0.494,2.624
2.90328598,1.011,2.082,-0.145,2.319
2.914690018,0.938,2.066,0.22,2.28
2.924185991,0.902,2.197,0.346,2.4
2.947768927,1.236,2.718,0.62,3.05
2.953892946,1.403,2.871,0.726,3.277
2.957484961,1.403,2.871,0.726,3.277
2.966943026,1.686,2.453,0.703,3.058
2.975635052,1.613,2.084,0.593,2.701
2.984478951,2.063,1.652,0.662,2.725
2.994513035,2.183,0.266,0.631,2.288
3.002827883,1.845,-0.324,0.536,1.948
3.014955997,1.481,-0.356,0.445,1.587
3.03828311,0.598,-0.398,0.343,0.796
3.040611029,0.598,-0.398,0.343,0.796
3.046488047,0.217,-0.157,0.315,0.413
3.053146124,-0.05,0.182,0.349,0.397
3.064252138,-0.037,0.493,0.526,0.722
3.074540854,0.243,0.686,0.777,1.065
3.084015131,0.424,0.516,0.956,1.166
3.094272852,0.503,0.368,0.843,1.048
3.103267908,0.58,0.32,0.529,0.848
3.113765001,0.552,0.177,0.361,0.683
3.12411499,0.494,0.11,0.493,0.707
3.14189887,0.512,0.299,0.106,0.602
3.147927046,0.512,0.299,0.106,0.602
3.153231859,0.59,0.519,-0.178,0.806
3.164408922,0.56,0.7,-0.211,0.921
3.174310923,0.476,0.865,-0.333,1.042
3.184208155,0.409,0.857,-0.454,1.053
3.194591045,0.26,0.745,-0.519,0.944
3.203338861,0.17,0.736,-0.485,0.898
3.213835001,0.091,0.771,-0.31,0.836
3.225135088,0.297,1.088,0.181,1.142
3.244207144,0.291,2.393,0.262,2.425
3.248975039,0.291,2.393,0.262,2.425
3.255359888,0.734,3.235,-0.136,3.32
3.265393019,1.185,3.218,-0.413,3.454
3.274837017,1.27,2.644,-0.848,3.053
3.284718037,1.552,2.173,-0.946,2.833
3.295111895,2.156,1.722,-0.52,2.808
3.304023981,2.963,1.576,0.211,3.363
3.315637827,3.05,1.34,0.697,3.404
3.324537039,2.4,1.159,0.988,2.842
3.343917131,0.938,0.808,1.995,2.348
3.348536968,0.938,0.808,1.995,2.348
3.354743004,0.447,0.598,0.491,0.894
3.365145922,0.314,0.299,0.196,0.476
3.374716997,0.116,0.153,0.363,0.411
3.384724855,0.053,0.18,-0.092,0.209
3.394999981,-0.197,0.069,-0.624,0.658
3.403942823,-0.361,-0.087,-0.254,0.45
3.414889097,-0.497,-0.284,-0.04,0.574
3.424335003,-0.61,-0.522,-0.179,0.823
3.442105055,-0.817,-0.774,-0.584,1.268
3.448681116,-0.817,-0.774,-0.584,1.268
3.454242945,-0.913,-0.388,-0.923,1.355
3.464954138,-0.795,0.033,-0.965,1.251
3.474973917,-0.601,0.034,-0.68,0.908
3.485036135,-0.553,0.065,-0.334,0.649
3.49536705,-0.408,0.35,0.109,0.548
3.503978968,-0.136,0.471,0.556,0.741
3.514132977,0.287,0.319,0.027,0.43
3.524947882,0.677,0.259,-0.065,0.728
3.542644978,1.68,0.553,1.808,2.529
3.548781157,1.68,0.553,1.808,2.529
3.554419041,0.627,0.443,0.052,0.769
3.564965963,0.197,0.571,-0.339,0.693
3.575036049,0.182,0.622,-0.479,0.806
3.585104942,-0.067,0.654,-0.592,0.885
3.595916986,-0.491,0.662,-0.437,0.933
3.604089022,-0.414,0.716,0.472,0.952
3.614439011,0.327,0.674,0.496,0.898
3.625169992,0.955,0.608,-0.319,1.176
3.643139124,0.926,1.669,0.447,1.96
3.649256945,0.926,1.669,0.447,1.96
3.654617071,1.235,1.817,0.216,2.208
3.665186167,1.373,1.943,0.186,2.386
3.67611599,1.279,2.084,0.031,2.445
3.685518026,1.136,2.496,-0.373,2.768
3.696552038,0.929,3.032,-0.746,3.258
3.704654932,0.885,3.173,-1.117,3.478
3.714375019,0.88,3.062,-1.251,3.423
3.725672007,1.033,2.878,-0.866,3.178
3.742738008,0.852,1.643,1.38,2.309
3.749544859,0.852,1.643,1.38,2.309
3.754770041,0.473,1.536,1.557,2.238
3.76570487,0.327,1.25,1.585,2.045
3.775444984,-0.032,0.749,1.312,1.511
3.785815001,-0.311,0.619,0.782,1.045
3.796041965,-0.653,0.545,0.823,1.184
3.804465055,-0.932,0.729,1.311,1.766
3.814668894,-0.577,0.805,1.281,1.619
3.825732946,0.372,0.304,1.013,1.121
3.84537816,0.7,-0.171,-0.147,0.735
3.849727869,0.7,-0.171,-0.147,0.735
3.855937004,0.329,-0.045,-0.239,0.409
3.865977049,0.106,0.075,-0.355,0.378
3.875566959,0.126,0.144,-0.463,0.501
3.885967016,0.138,0.244,-0.534,0.603
3.896471024,-0.008,0.308,-0.652,0.721
3.90478301,-0.112,0.303,-0.63,0.708
3.914741993,-0.291,0.166,-0.638,0.721
3.925285101,-0.297,0.204,-0.61,0.708
3.942865133,-0.777,0.326,-0.472,0.966
3.949249029,-0.777,0.326,-0.472,0.966
3.954956055,-0.931,0.384,-0.35,1.066
3.96604991,-0.954,0.69,0.419,1.25
3.975800037,-0.726,1.091,0.702,1.487
3.98592782,-0.212,1.599,0.456,1.676
3.996507883,0.413,2.149,1.09,2.445
4.005450964,1.257,2.928,2.377,3.975
4.017111063,1.991,3.948,3.882,5.884
4.043452978,1.123,3.886,1.076,4.186
4.049536943,1.123,3.886,1.076,4.186
4.053866148,0.801,3.039,1.845,3.644
4.060052156,0.801,3.039,1.845,3.644
4.066431999,0.241,2.579,1.67,3.082
4.075994968,-0.074,2.116,0.721,2.237
4.086141825,-0.094,1.436,0.48,1.517
4.096688986,-0.168,0.68,0.764,1.036
4.105170965,-0.26,0.211,0.698,0.774
4.115173101,-0.29,-0.036,0.171,0.339
4.126177073,-0.276,-0.379,-0.39,0.61
4.144810915,-0.183,-1.124,-0.086,1.142
4.150213003,-0.183,-1.124,-0.086,1.142
4.155604124,-0.221,-1.255,0.277,1.304
4.166146994,-0.342,-1.123,0.142,1.182
4.176231146,-0.364,-0.824,-0.674,1.125
4.186239004,-0.318,-0.585,-1.406,1.556
4.196899176,-0.314,-0.553,-1.319,1.464
4.20517993,-0.356,-0.561,-1.277,1.44
4.215260983,-0.41,-0.499,-1.363,1.508
4.226505041,-0.458,-0.443,-1.271,1.422
4.245522022,-0.343,0.008,-0.978,1.036
4.250944853,-0.343,0.008,-0.978,1.036
4.25612092,0.046,0.403,-0.505,0.648
4.266335964,1.048,1.217,0.311,1.636
4.2764709,2.029,2.248,2.341,3.828
4.286458015,1.445,1.809,1.602,2.815
